,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1153889192,0,9,5,-38.1109156,144.6541725,-37.8094878,144.9362746,42826.0,2018-03-11,06:21:27,10247.999999999996,9:12:15,23.89
ID1300368419,0,3,7,-37.8167264,144.9700747,-37.8618349,144.905716,7981.0,2018-04-16,09:45:25,2769.9,10:31:34,9.24
ID3145141726,1,3,5,-37.8116894,145.0009412,-37.8098825,144.9364396,6152.0,2018-06-02,23:30:07,1542.419999999999,23:55:49,27.88
ID1408610557,0,4,1,-37.8061658,144.9995386,-37.8140879,144.9632802,5374.0,2018-05-27,15:34:13,1264.74,15:55:17,14.94
ID1883514870,0,4,1,-37.8032079,145.0079329,-37.8133291,144.939352,6976.0,2018-07-28,01:59:45,1750.7999999999995,2:28:55,19.21
ID1504725597,0,9,8,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-03-25,14:34:30,11495.340000000007,17:46:05,31.84
ID5684964447,2,2,6,-37.814165,144.9388464,-37.773845,144.9836895,7266.0,2018-04-17,14:12:13,1624.26,14:39:17,131.61
ID3671364844,1,6,5,-37.7874325,144.9803767,-37.7992786,144.9367969,5352.0,2018-03-19,09:58:23,1401.7800000000007,10:21:44,9.84
ID1476767165,0,1,4,-37.8204409,144.9662789,-37.8127565,145.0102815,4925.0,2018-03-26,02:15:36,1318.7400000000005,2:37:34,13.27
ID3907849256,1,4,8,-37.8068488,144.9979094,-37.8158343,145.04645,4656.0,2018-07-11,09:27:28,1474.2,9:52:02,11.95
ID5889132035,2,6,9,37.7907967,144.985865,-38.1109156,144.6541725,47193.0,2018-01-28,02:58:03,11530.619999999999,6:10:13,818.99
ID3974388074,1,2,4,37.813523,144.941156,-37.7991186,144.9954484,5841.0,2018-01-22,23:58:36,1470.84,0:23:06,22.22
ID5498239185,2,3,4,-37.8233335,144.9998809,-37.8107693,145.010727,2638.0,2018-02-23,17:41:15,625.7400000000001,17:51:40,62.78
ID1505598210,0,2,7,-37.8164324,144.9284395,-37.8618349,144.905716,11535.0,2018-06-05,13:25:23,3729.2400000000007,14:27:32,13.03
ID1901877295,0,6,1,37.7738026,144.9836466,-37.8045987,144.9539397,8025.0,2018-02-01,02:48:10,2556.659999999999,3:30:46,14.39
ID5855697857,2,2,6,-37.8249406,144.9329693,-37.7874325,144.9803767,7418.0,2018-02-17,21:04:32,1950.2400000000011,21:37:02,169.25
ID3317978817,1,4,6,-37.8043204,145.0010742,-37.7874325,144.9803767,4088.0,2018-05-01,03:40:38,1047.2400000000005,3:58:05,22.55
ID1502075483,0,1,3,37.8056896,144.9460642,-37.8229321,145.0106286,6792.0,2018-02-23,11:19:02,1693.3200000000004,11:47:15,6.58
ID5685963365,2,4,9,-37.8019971,145.0034535,-38.1109156,144.6541725,47780.0,2018-02-03,09:57:06,11573.099999999999,13:09:59,802.99
ID1364465989,0,5,6,-37.8051219,144.9261401,-37.773845,144.9836895,7955.0,2018-07-10,11:49:57,1811.1000000000008,12:20:08,7.66
ID5770528820,2,7,6,37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-07-09,13:06:36,3863.579999999999,14:10:59,281.71
ID3834278211,1,4,1,-37.8145067,144.9999352,-37.8156148,144.9462743,5456.0,2018-01-03,06:42:56,1349.8200000000004,7:05:25,12.92
ID1371850127,0,8,2,-37.8158343,145.04645,-37.8204085,144.9278674,11347.0,2018-04-10,17:57:28,3206.5799999999986,18:50:54,12.3
ID1262383671,0,8,6,-37.807202,145.0266373,-37.773845,144.9836895,8606.0,2018-03-25,20:05:29,2001.8400000000001,20:38:50,14.56
ID3411280620,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-04-02,05:50:37,4917.479999999999,7:12:34,37.91
ID3320918388,1,9,5,-38.1109156,144.6541725,37.8148712,144.9271562,44442.0,2018-07-28,06:21:31,10683.659999999996,9:19:34,54.0
ID3354997256,1,5,8,-37.8065033,144.9322127,-37.807202,145.0266373,9116.0,2018-07-22,19:24:38,2340.18,20:03:38,25.91
ID1694139321,0,9,1,-38.1109156,144.6541725,-37.8060917,144.9447994,43107.0,2018-01-21,04:48:24,10343.339999999997,7:40:47,29.38
ID3520914488,1,9,6,-38.1109156,144.6541725,-37.7874421,144.9804091,47035.0,2018-06-11,14:34:50,11413.020000000008,17:45:03,58.59
ID3729814968,1,2,8,-37.8261076,144.9491163,-37.8158343,145.04645,9566.0,2018-02-15,11:06:28,2770.0200000000004,11:52:38,17.23
ID3512708795,1,8,3,-37.8158343,145.04645,-37.823695,144.9672159,8175.0,2018-03-01,00:49:30,2421.600000000001,1:29:51,27.78
ID5802623154,2,6,1,-37.773845,144.9836895,37.8218547,144.947504,7060.0,2018-06-14,00:07:01,1563.960000000001,0:33:04,136.66
ID1765852606,0,3,1,-37.8232628,144.9830236,-37.8173117,144.9584302,2793.0,2018-07-04,18:19:53,674.1000000000003,18:31:07,7.67
ID1254155912,0,6,3,-37.7874421,144.9804091,-37.8158349,144.9738102,3455.0,2018-03-03,06:30:36,887.4599999999999,6:45:23,10.43
ID3311171166,1,8,5,-37.8158343,145.04645,37.8064471,144.9325031,10341.0,2018-03-25,23:15:16,2920.619999999998,0:03:56,33.83
ID3979404408,1,1,6,-37.8112288,144.9618602,37.7874325,144.9803767,3669.0,2018-03-11,19:35:13,913.3800000000001,19:50:26,19.88
ID1693620264,0,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-04-04,00:10:35,12099.660000000003,3:32:14,28.82
ID5770316528,2,4,6,-37.8117319,145.0078157,37.7874325,144.9803767,4984.0,2018-02-15,08:39:00,1279.5000000000005,9:00:19,96.06
ID3623239260,1,3,6,-37.8224033,144.9905147,-37.7907967,144.985865,4046.0,2018-01-01,23:33:04,1152.06,23:52:16,21.19
ID3477738035,1,8,5,-37.8158343,145.04645,-37.8073529,144.9364781,10096.0,2018-07-02,19:39:17,2882.1599999999976,20:27:19,22.26
ID1280997021,0,1,2,-37.8132985,144.9646315,-37.8143451,144.936685,3326.0,2018-07-21,17:29:28,839.8799999999999,17:43:27,12.96
ID3606660156,1,8,4,-37.807202,145.0266373,-37.8006001,144.992611,3319.0,2018-01-04,22:22:44,899.2200000000001,22:37:43,21.72
ID3327983916,1,6,1,-37.773845,144.9836895,-37.802031,144.9666456,3703.0,2018-04-24,07:25:34,690.1999999999998,7:37:20,6.96
ID1838460050,0,6,8,-37.773845,144.9836895,-37.807202,145.0266373,8606.0,2018-03-27,22:46:12,1986.7200000000003,23:19:27,14.13
ID3430453643,1,2,7,-37.8172419,144.93174,-37.8618349,144.905716,10821.0,2018-06-14,17:18:23,3647.36,18:17:59,26.62
ID3594620070,1,6,4,-37.7874325,144.9803767,-37.8007,144.9926214,2690.0,2018-05-09,05:13:25,638.34,5:24:27,17.19
ID3559080948,1,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-04-05,07:52:47,4911.599999999998,9:14:38,27.23
ID3251561082,1,5,8,-37.8081247,144.9344576,-37.8158343,145.04645,10419.0,2018-03-01,04:49:53,3015.96,5:38:35,29.72
ID5622932089,2,2,9,-37.8128581,144.9357274,-38.1109156,144.6541725,43229.0,2018-03-04,19:26:52,10397.939999999999,22:20:09,730.59
ID1951858863,0,1,5,-37.8079334,144.9578607,-37.8097706,144.9300462,3425.0,2018-01-15,09:21:41,880.52,9:36:28,5.22
ID1542722334,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-07-07,21:58:48,4917.479999999999,23:20:45,24.4
ID3608417337,1,6,5,-37.7874325,144.9803767,-37.8115093,144.9357958,6174.0,2018-02-11,17:30:50,1611.3599999999992,17:57:02,22.63
ID3620596365,1,5,8,-37.8149579,144.9275204,-37.8158343,145.04645,11854.0,2018-01-08,23:13:05,3287.2799999999997,0:07:52,32.16
ID3300881390,1,5,2,-37.8050914,144.9280168,-37.821381,144.9444542,3046.0,2018-04-19,08:09:31,695.0,8:21:31,8.62
ID3161334900,1,7,5,-37.8618349,144.905716,-37.8059927,144.9325098,10958.0,2018-04-26,21:18:17,3540.7999999999997,22:16:45,30.84
ID1921953311,0,6,5,-37.7874421,144.9804091,-37.8048602,144.932999,6177.0,2018-04-26,11:31:50,1678.5399999999997,11:59:35,6.74
ID1358787721,0,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-04-12,01:42:47,2302.3800000000006,2:21:09,13.33
ID1360368785,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-05,19:12:03,12681.060000000005,0:53:09,26.64
ID3198752606,1,7,5,-37.8618349,144.905716,-37.8049951,144.9312408,11707.0,2018-01-05,15:50:58,3693.6599999999994,16:52:31,26.88
ID1139347176,0,9,1,-38.1109156,144.6541725,-37.8083116,144.9409504,43520.0,2018-05-24,16:36:40,10425.540000000003,19:30:25,22.03
ID1462079621,0,2,5,-37.8253,144.9366512,-37.8062448,144.9321702,3535.0,2018-04-26,10:11:49,874.38,10:26:23,4.84
ID3760490478,1,3,8,-37.8134238,144.9926565,-37.807202,145.0266373,3947.0,2018-07-08,15:18:01,953.4000000000001,17:30:31,18.38
ID1711846081,0,5,2,-37.8046323,144.9353905,-37.8166412,144.9316921,2606.0,2018-05-04,16:24:37,615.72,18:41:41,7.52
ID3220786420,1,4,1,-37.8014837,145.004298,-37.8188451,144.9654245,4737.0,2018-05-09,22:11:56,1250.400000000001,22:32:46,22.85
ID1248510575,0,7,4,-37.8618349,144.905716,-37.7980773,145.0076602,12793.0,2018-02-12,01:38:55,4073.9999999999986,2:46:49,16.16
ID5177672534,2,5,3,-37.8064761,144.9322171,-37.8226242,144.9825669,5617.0,2018-06-26,21:39:57,1392.6000000000004,0:26:03,124.64
ID5941274951,2,7,4,-37.8618349,144.905716,-37.8118393,145.0116848,12135.0,2018-04-26,21:02:09,3854.639999999998,21:03:27,292.6
ID3456122775,1,4,8,-37.8043117,144.9947485,-37.8158343,145.04645,5165.0,2018-04-18,13:21:23,1638.6599999999999,13:48:41,18.49
ID5298217283,2,9,5,-38.1109156,144.6541725,-37.7985094,144.9200724,45197.0,2018-01-08,13:56:12,10856.459999999997,16:57:08,755.91
ID5947462005,2,8,4,-37.807202,145.0266373,-37.8054576,145.0004183,2510.0,2018-04-09,18:54:26,628.9200000000001,1:20:13,62.45
ID3455544963,1,2,7,-37.8149198,144.9353227,-37.8618349,144.905716,10627.0,2018-02-24,05:16:41,3469.4400000000005,6:14:30,35.96
ID1173867435,0,4,9,-37.8018235,145.0034743,-38.1109156,144.6541725,47805.0,2018-05-28,00:19:58,11580.18,3:32:58,29.37
ID3312878967,1,2,7,-37.8132619,144.9385342,-37.8618349,144.905716,10283.0,2018-03-26,00:09:34,3371.2200000000003,1:05:45,31.46
ID5202128627,2,9,1,-38.1109156,144.6541725,-37.8003784,144.9639538,44618.0,2018-02-27,13:58:42,10793.220000000003,14:14:59,751.43
ID3802445362,1,9,3,-38.1109156,144.6541725,-37.8160546,144.9725048,44289.0,2018-01-19,13:35:30,10702.499999999993,19:03:50,55.38
ID5743932284,2,5,3,-37.8081468,144.9342466,-37.814678,144.9899876,5666.0,2018-05-21,18:05:37,1361.7599999999995,18:28:18,112.11
ID3286446614,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-02-26,07:56:01,4917.479999999999,9:17:58,25.22
ID1199170535,0,5,8,-37.8132457,144.9334457,-37.8158343,145.04645,11173.0,2018-01-05,05:25:09,3113.2200000000003,9:29:58,17.07
ID3746449030,1,1,9,-37.8246536,144.9547414,-38.1109156,144.6541725,43117.0,2018-05-25,15:35:28,10460.759999999998,18:29:48,54.79
ID1237689135,0,2,8,-37.8180144,144.9470579,-37.807202,145.0266373,8199.0,2018-03-25,08:31:16,1926.3600000000006,9:03:22,11.19
ID3308658307,1,7,1,-37.8618349,144.905716,-37.8121182,144.9380601,10803.0,2018-07-16,09:20:42,3495.7199999999975,10:18:57,18.97
ID1504389429,0,1,4,-37.8165955,144.9668739,-37.8095022,145.004336,3896.0,2018-04-23,09:37:12,966.9,10:27:01,5.57
ID1825008063,1,1,7,-37.8080795,144.9692773,-37.8618349,144.905716,9130.0,2018-07-14,08:11:48,3058.6800000000003,9:02:46,15.19
ID3535334153,1,5,1,-37.8043845,144.9300847,-37.8111682,144.9402874,2199.0,2018-02-16,13:20:48,608.52,13:30:56,14.69
ID1681548240,3,9,4,-38.1109156,144.6541725,-37.8023641,144.9918031,47082.0,2018-01-28,01:32:01,11337.180000000006,4:40:58,30.82
ID1537809105,0,9,2,-38.1109156,144.6541725,-37.8120843,144.9384611,42573.0,2018-05-16,08:42:51,10196.039999999995,11:32:47,19.29
ID1360446979,0,4,3,-37.803335,144.9899256,-37.823372,144.9891531,2452.0,2018-06-16,19:48:59,613.74,19:59:12,14.41
ID1492924162,0,4,6,-37.8054782,144.9975185,-37.7874421,144.9804091,3556.0,2018-03-19,10:04:58,916.7400000000002,10:20:14,6.33
ID1795573345,0,8,6,-37.807202,145.0266373,-37.7738026,144.9836466,11470.0,2018-01-22,21:24:01,3458.9400000000005,22:21:39,17.04
ID1780089130,0,3,7,-37.8147119,145.0022753,-37.8618349,144.905716,11123.0,2018-04-20,22:31:18,3547.3800000000006,23:30:25,15.45
ID1360197075,0,3,1,-37.818898,145.0025945,-37.8008069,144.9735614,4162.0,2018-02-28,07:03:04,1048.9800000000005,7:20:32,6.32
ID1500275919,0,7,5,-37.8618349,144.905716,-37.8083237,144.9212169,11863.0,2018-04-09,22:25:35,3791.3399999999974,23:28:46,14.39
ID3965649823,1,7,3,-37.8618349,144.905716,-37.8190709,144.9792016,8832.0,2018-07-09,13:12:10,2912.9399999999987,14:00:42,22.01
ID3649580276,3,4,6,-37.8009025,144.9879895,-37.773845,144.9836895,4955.0,2018-05-08,12:22:39,1045.38,12:40:04,14.68
ID1195094699,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-04,01:59:19,13204.979999999994,5:39:23,35.63
ID5227490588,2,5,9,-37.7998964,144.9289558,-38.1109156,144.6541725,44391.0,2018-03-04,01:53:31,10662.66,4:51:13,757.98
ID3313857912,2,2,1,-37.814791,144.9342856,-37.80156,144.9573359,2946.0,2018-02-05,05:25:46,743.6400000000002,5:38:09,20.07
ID1445610392,0,4,9,-37.8104827,145.0089843,-38.1109156,144.6541725,47800.0,2018-03-23,03:06:16,11549.16,6:18:45,28.05
ID1576951547,0,6,4,-37.773845,144.9836895,-37.8003197,145.0098041,7074.0,2018-06-11,15:16:30,1580.1000000000001,15:42:50,11.16
ID5724489752,3,4,7,-37.8020363,145.0041224,-37.8618349,144.905716,12107.0,2018-03-08,01:33:34,3863.9400000000014,2:37:57,291.6
ID1702924883,3,3,4,-37.8227719,144.9714152,-37.8105541,145.0047871,4169.0,2018-01-20,13:11:18,1029.78,13:28:27,13.53
ID1494953677,0,1,6,-37.8136699,144.9741999,-37.7738026,144.9836466,7719.0,2018-06-24,14:35:15,2459.2799999999997,15:16:14,16.5
ID1766914306,0,7,1,-37.8618349,144.905716,-37.8033171,144.9368699,10832.0,2018-04-02,08:02:08,3535.9199999999996,9:01:03,10.35
ID1649855878,0,2,4,-37.8090045,144.9352188,-37.8109049,145.0041063,7917.0,2018-02-19,06:58:35,1972.74,7:31:27,7.83
ID3430640721,1,5,7,-37.8053892,144.9255009,-37.8618349,144.905716,11538.0,2018-05-12,15:51:28,3666.9000000000005,16:52:34,29.61
ID1855079655,0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-07-04,08:45:52,11407.859999999999,11:55:59,21.71
ID1750815089,0,2,1,-37.8245212,144.9460841,-37.8174523,144.9459675,936.0,2018-06-03,01:20:55,209.22,1:24:24,14.29
ID3310188202,1,4,2,-37.7865539,145.0197062,-37.822044,144.9507315,9606.0,2018-04-14,04:37:13,2612.639999999999,5:20:45,32.54
ID1267332042,3,2,7,-37.8165285,144.9282096,-37.8618349,144.905716,11509.0,2018-03-11,12:22:44,3721.3200000000006,13:24:45,17.89
ID1560256523,2,4,8,-37.7994435,144.9890606,-37.8158343,145.04645,6152.0,2018-03-22,21:23:34,1873.2600000000002,21:54:47,14.23
ID3798259161,1,6,3,-37.7738026,144.9836466,-37.8205902,144.9830457,9134.0,2018-06-10,17:50:16,2833.439999999998,18:37:29,27.4
ID3987188177,1,5,6,-37.8051653,144.9366579,-37.7908183,144.9857929,5978.0,2018-02-23,22:23:04,1611.9000000000003,22:49:55,23.67
ID5408541460,1,4,1,-37.8028779,145.0209199,-37.8090911,144.9462079,7808.0,2018-05-23,16:29:40,2047.32,17:03:47,161.83
ID1627050770,0,9,3,-38.1109156,144.6541725,-37.819384,145.0083597,47525.0,2018-07-13,23:56:08,11553.959999999992,3:08:41,31.13
ID1384520898,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-07-10,12:05:33,13204.979999999994,15:45:37,27.18
ID1850960911,0,1,3,-37.8155572,144.9664266,-37.8106277,144.9775804,1254.0,2018-01-19,10:16:19,285.24,10:21:04,3.78
ID1186274425,0,3,8,-37.8244857,144.9694034,-37.8158343,145.04645,8139.0,2018-01-27,23:13:14,2338.6800000000003,23:52:12,18.16
ID1529699977,0,7,4,-37.8618349,144.905716,-37.8045527,144.993404,10974.0,2018-06-25,02:07:02,3614.819999999999,3:07:16,17.33
ID1277604634,0,4,7,-37.8136358,145.0000791,-37.8618349,144.905716,11013.0,2018-01-23,23:09:01,3499.0200000000004,0:07:20,17.4
ID3348941746,1,7,1,-37.8618349,144.905716,-37.7997293,144.954878,9841.0,2018-05-02,14:24:41,3276.7799999999997,15:19:17,24.18
ID3799795604,1,6,1,-37.7908183,144.9857929,-37.8019703,144.9584927,3658.0,2018-05-07,09:02:13,944.1600000000001,9:17:57,8.71
ID3781138116,1,5,3,-37.8067534,144.9325725,-37.8233231,144.9762627,5006.0,2018-04-10,04:45:09,1249.8000000000002,5:05:58,22.17
ID1785321409,0,7,3,-37.8618349,144.905716,-37.8254142,144.9956472,9828.0,2018-07-26,23:49:50,3146.16,22:57:24,16.84
ID3112017566,1,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-02-13,16:21:42,11407.859999999999,19:31:49,59.79
ID1412396809,0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-01-09,00:53:50,12681.060000000005,4:25:11,29.24
ID1709856009,0,2,5,-37.8210373,144.9476006,-37.8084848,144.925964,2655.0,2018-03-25,14:09:10,715.5000000000001,14:21:05,13.5
ID5754867622,2,5,3,-37.8153797,144.9225106,-37.8251249,144.9919938,7445.0,2018-01-17,9:26:49,1924.319999999999,08:54:45,142.87
ID3540539785,1,7,2,-37.8618349,144.905716,-37.8191916,144.9340419,10161.0,2018-02-20,17:18:05,3400.4400000000005,18:14:45,25.41
ID3401795959,1,3,8,-37.8185672,144.9991515,-37.8158343,145.04645,4948.0,2018-06-26,17:55:26,1531.8000000000002,18:20:57,18.07
ID3144302237,1,4,6,-37.8014528,145.0068826,-37.7907967,144.985865,2960.0,2018-01-10,9:36:46,859.5,09:22:27,11.35
ID3639288067,1,4,5,-37.8167868,145.0072588,-37.8056364,144.9367091,6899.0,2018-01-08,13:30:14,1763.5800000000008,13:00:51,19.36
ID3900041650,1,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197.0,2018-02-16,09:08:24,11519.399999999998,12:20:23,53.28
ID1377183471,0,1,4,-37.8174002,144.9540169,-37.800964,144.9909789,4810.0,2018-07-03,1:46:29,1253.2199999999996,01:25:36,12.46
ID3177846711,1,9,5,-38.1109156,144.6541725,-37.8002664,144.9356903,45208.0,2018-01-11,13:29:24,10827.659999999998,10:28:57,49.42
ID3508513761,1,5,6,-37.7946969,144.9361619,-37.773845,144.9836895,6884.0,2018-06-20,4:54:06,1549.62,04:28:17,24.14
ID1524858915,0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-03-12,20:57:05,12681.059999999998,0:28:26,28.17
ID1363989445,0,4,2,-37.8014528,145.0068826,-37.8152116,144.9275535,8997.0,2018-04-03,1:43:17,2320.8,01:04:37,15.25
ID3373642500,1,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698.0,2018-02-18,08:40:34,2735.16,9:26:09,20.1
ID5632304081,2,6,3,-37.7907967,144.985865,-37.8140799,144.9737248,3321.0,2018-07-10,03:07:10,923.7,3:22:33,93.0
ID1719418874,0,1,7,-37.8109468,144.9618307,-37.8618349,144.905716,8562.0,2018-06-03,09:36:09,2916.0,10:24:45,10.72
ID3269554380,1,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698.0,2018-06-14,14:47:31,2735.16,15:33:06,22.57
ID3151129127,1,9,3,-38.1109156,144.6541725,-37.8242349,144.991632,46110.0,2018-03-07,04:03:57,11192.760000000006,7:10:29,63.89
ID1486885530,0,6,1,-37.7907967,144.985865,-37.8209796,144.9659668,4578.0,2018-07-19,14:46:37,1331.460000000001,14:24:26,8.59
ID1942518477,0,2,1,-37.8219372,144.9520932,-37.8141364,144.9657288,1860.0,2018-02-01,11:48:09,452.2200000000002,11:55:41,5.19
ID5706609540,2,3,7,-37.8202606,144.9695443,-37.8618349,144.905716,7683.0,2018-04-07,8:07:14,2672.88,07:22:42,200.17
ID1960786156,0,2,9,-37.8208637,144.9206343,-38.1109156,144.6541725,44615.0,2018-01-06,23:42:52,10806.9,2:42:58,31.11
ID3472606722,1,2,6,-37.8205187,144.9511189,-37.7908183,144.9857929,5370.0,2018-06-18,00:12:39,1396.4399999999998,0:35:55,22.14
ID1776993558,0,3,8,-37.8122909,144.9840426,-37.807202,145.0266373,4650.0,2018-05-13,02:11:52,1131.1800000000003,2:30:43,17.26
ID5132273803,2,5,2,-37.8035614,144.9181009,-37.8250284,144.9452845,4403.0,2018-01-10,20:39:40,1058.22,20:57:18,93.99
ID3688811008,1,3,5,-37.8097154,144.9914314,-37.8065946,144.9322622,5501.0,2018-05-03,06:04:42,1420.0199999999998,6:28:22,11.33
ID5746311222,2,1,4,-37.8074005,144.9424252,-37.8005187,145.0018179,6493.0,2018-06-05,03:26:28,1682.16,3:54:30,146.44
ID1831496680,0,7,1,-37.8618349,144.905716,-37.8149457,144.9647656,7985.0,2018-07-18,04:43:39,2762.3399999999983,5:29:41,12.93
ID1931884723,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-11,01:40:16,13173.359999999999,5:19:49,30.19
ID1291850617,0,2,4,-37.8136707,144.9367091,-37.8035321,144.9944033,6223.0,2018-02-06,17:00:47,1566.9599999999998,17:26:53,8.63
