,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
53,ID5443842874,2,9,6,-38.1109156,144.65417250000002,-37.773845,144.9836895,48197.0,2018-05-12,14:30:12,11495.340000000007,17:41:47,1176.29
54,ID1688645866,0,5,7,-37.8149767,144.9275019,-37.8618349,144.90571599999998,11810.0,2018-05-07,03:54:01,3799.08,4:57:20,18.26
55,ID1290115427,0,8,2,-37.8158343,145.04645,-37.821006,144.9442801,9654.0,2018-02-08,20:39:13,2609.7599999999993,21:22:42,13.19
56,ID1351423916,0,9,3,-38.1109156,144.65417250000002,-37.819294,144.9744131,44469.0,2018-06-25,04:32:03,10701.239999999994,7:30:24,31.04
57,ID1637594529,0,9,2,-38.1109156,144.65417250000002,-37.8123454,144.9368391,42900.0,2018-06-23,11:44:30,10276.439999999997,14:35:46,26.22
58,ID1169992946,0,9,4,-38.1109156,144.65417250000002,-37.8166191,145.0134406,48139.0,2018-06-23,23:13:09,11584.56,2:26:13,34.86
59,ID3321613778,1,3,2,-37.8201261,144.96838459999998,-37.8099179,144.93604119999998,3635.0,2018-04-21,14:20:39,848.7599999999996,14:34:47,18.19
60,ID1739699075,0,9,5,-38.1109156,144.65417250000002,-37.7993605,144.9248132,48687.0,2018-05-19,17:33:54,11869.439999999993,20:51:43,31.05
61,ID1845077718,0,6,1,-37.7907967,144.985865,-37.80685510000001,144.9583409,3987.0,2018-07-11,16:34:52,1160.64,16:54:12,9.42
62,ID5137329011,2,5,8,-37.8065033,144.93221269999998,-37.8158343,145.04645,10384.0,2018-03-04,21:51:08,2923.6800000000007,22:39:51,328.48
63,ID5383480335,2,3,4,-37.826093,145.0017336,-37.8005112,144.9999631,3566.0,2018-07-26,16:39:55,799.8600000000004,16:53:14,102.7
64,ID3533883254,1,8,2,-37.8158343,145.04645,-37.8122119,144.9370288,10218.0,2018-07-24,01:21:32,2872.019999999997,2:09:24,26.26
65,ID3245975801,1,6,2,-37.7908183,144.9857929,-37.812512100000006,144.9430819,5478.0,2018-03-01,12:15:46,1430.7599999999998,12:39:36,14.32
66,ID1122826087,0,1,8,-37.8201296,144.9586554,-37.8158343,145.04645,8257.0,2018-07-08,23:33:51,2371.9800000000005,0:13:22,22.24
67,ID3438590375,1,6,7,-37.7874421,144.9804091,-37.8618349,144.90571599999998,11630.0,2018-04-27,22:03:27,3697.0200000000013,23:05:04,13.905
68,ID3177902791,1,2,7,-37.813461600000004,144.944369,-37.8618349,144.90571599999998,9680.0,2018-06-15,14:20:14,3210.600000000001,15:13:44,20.58
69,ID1261539402,0,8,2,-37.8158343,145.04645,-37.818102200000006,144.94857290000002,9169.0,2018-05-15,18:09:51,2546.640000000001,18:52:17,12.99
70,ID3815637733,1,1,7,-37.8173369,144.9562328,-37.8618349,144.90571599999998,8287.0,2018-03-01,04:26:59,2868.78,5:14:47,12.905
71,ID5690957646,2,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-06-27,16:16:05,13204.979999999996,19:56:09,1340.49
72,ID5924504985,2,8,5,-37.8158343,145.04645,-37.809020700000005,144.92892759999998,10733.0,2018-02-08,02:25:31,3016.3799999999983,3:15:47,165.745
73,ID1455618080,0,8,4,-37.807202000000004,145.0266373,-37.799772999999995,145.0123966,1816.0,2018-05-13,06:19:47,435.24,6:27:02,4.19
74,ID3477154872,1,9,6,-38.1109156,144.65417250000002,-37.773845,144.9836895,48197.0,2018-03-27,15:32:27,11495.340000000007,18:44:02,49.73
75,ID5758303054,2,7,5,-37.8618349,144.90571599999998,-37.8064885,144.93292119999998,10997.0,2018-02-09,07:37:51,3513.96,8:36:24,182.02
76,ID3896046637,1,3,8,-37.8154546,144.9774748,-37.8158343,145.04645,6474.0,2018-05-04,18:45:49,1917.6,19:17:46,16.62
77,ID1224355865,0,3,5,-37.818619399999996,144.99204890000001,-37.7946969,144.9361619,6449.0,2018-03-20,07:25:40,1637.1600000000005,7:52:57,5.08
78,ID1331537483,0,3,5,-37.8204937,144.9767747,-37.8154311,144.928168,6105.0,2018-07-04,02:50:22,1428.7800000000009,3:14:10,15.64
79,ID1685108778,0,4,3,-37.7987401,144.9892958,-37.8094081,144.981048,1871.0,2018-05-12,00:06:55,483.71999999999986,0:14:58,18.15
80,ID3881658968,1,1,7,-37.8116941,144.95633769999998,-37.8618349,144.90571599999998,8662.0,2018-02-21,20:40:48,2965.74,21:30:13,18.8
81,ID5351647357,2,4,1,-37.8005112,144.9999631,-37.8059599,144.94742730000002,5440.0,2018-02-04,18:37:40,1430.16,19:01:30,172.72
82,ID3333281738,1,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-07-26,22:24:07,12069.78,1:45:16,58.08
83,ID1775955877,0,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-02-24,15:00:36,2437.38,15:41:13,6.8
84,ID3962405438,1,1,2,-37.802896999999994,144.9480927,-37.8142705,144.935746,2196.0,2018-04-06,04:12:37,569.8800000000002,4:22:06,17.1
85,ID3197728626,1,5,8,-37.80477020000001,144.93246919999999,-37.8158343,145.04645,10317.0,2018-06-15,07:34:34,2917.38,8:23:11,13.68
86,ID5557948048,2,2,9,-37.821476399999995,144.9450793,-38.1109156,144.65417250000002,41639.0,2018-02-17,21:33:51,10010.28,0:20:41,1036.96
87,ID5261890429,2,9,6,-38.1109156,144.65417250000002,-37.7738026,144.98364660000001,51061.0,2018-03-03,15:03:05,12952.44000000001,18:38:57,1322.39
88,ID1165409826,0,9,4,-38.1109156,144.65417250000002,-37.815785999999996,145.0094576,47846.0,2018-01-18,15:42:34,11520.06,18:54:34,29.58
