Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1449876550,0,5,3,-37.8052525,144.9260628,-37.8134398,144.9740272,4948.0,2018-03-24,20:22:31,1173.72,20:42:04,12.72
ID5727040050,2,4,7,-37.8093149,145.01362450000002,-37.8618349,144.90571599999998,12469.0,2018-02-03,08:10:07,3951.42,09:15:58,286.36
ID1218501531,0,4,6,-37.8020804,144.9950531,-37.7874421,144.9804091,3039.0,2018-02-16,07:29:00,754.02,07:41:34,4.93
ID3959416705,1,3,6,-37.80906629999999,144.976665,-37.773845,144.9836895,4614.0,2018-03-24,00:42:45,944.76,00:58:29,25.72
ID3951864272,1,6,4,-37.7874325,144.9803767,-37.8148464,145.0029943,5013.0,2018-07-14,19:27:37,1275.48,19:48:52,21.7
ID3775385486,1,5,4,-37.7964033,144.930983,-37.801065799999996,145.00497990000002,8027.0,2018-04-26,14:57:32,2073.6,15:32:05,20.18
ID1153889192,0,9,5,-38.1109156,144.65417250000002,-37.8094878,144.9362746,42826.0,2018-03-11,06:21:27,10248.0,09:12:15,23.89
ID1300368419,0,1,7,-37.81672639999999,144.9700747,-37.8618349,144.90571599999998,7981.0,2018-04-16,09:45:25,2769.9,10:31:34,9.24
ID3145141726,1,4,5,-37.8116894,145.00094119999997,-37.8098825,144.9364396,6152.0,2018-06-02,23:30:07,1542.42,23:55:49,27.88
ID1408610557,0,4,1,-37.8061658,144.9995386,-37.8140879,144.96328019999999,5374.0,2018-05-27,15:34:13,1264.74,15:55:17,14.94
ID1883514870,0,4,2,-37.8032079,145.00793290000001,-37.813329100000004,144.939352,6976.0,2018-07-28,01:59:45,1750.8,02:28:55,19.21
ID1504725597,0,9,6,-38.1109156,144.65417250000002,-37.773845,144.9836895,48197.0,2018-03-25,14:34:30,11522.28,17:46:32,31.84
ID5684964447,2,2,6,-37.814165,144.93884640000002,-37.773845,144.9836895,7266.0,2018-04-17,14:12:13,1624.26,14:39:17,131.61
ID3671364844,1,6,5,-37.7874325,144.9803767,-37.7992786,144.9367969,5352.0,2018-03-19,09:58:23,1401.78,10:21:44,9.84
ID1476767165,0,1,4,-37.8204409,144.96627890000002,-37.8127565,145.0102815,4925.0,2018-03-26,02:15:36,1318.74,02:37:34,13.27
ID3907849256,1,4,8,-37.8068488,144.9979094,-37.8158343,145.04645,4656.0,2018-07-11,09:27:28,1474.2,09:52:02,11.95
ID5889132035,2,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-01-28,02:58:03,11530.62,06:10:13,818.99
ID3974388074,1,2,4,-37.813522999999996,144.941156,-37.7991186,144.99544840000001,5841.0,2018-01-22,23:58:36,1471.08,00:23:07,22.22
ID5498239185,2,3,4,-37.823333500000004,144.99988090000002,-37.8107693,145.010727,2638.0,2018-02-23,17:41:15,625.74,17:51:40,62.78
ID1505598210,0,5,7,-37.8164324,144.9284395,-37.8618349,144.90571599999998,11535.0,2018-06-05,13:25:23,3729.24,14:27:32,13.03
ID1901877295,0,6,1,-37.7738026,144.98364660000001,-37.8045987,144.95393969999998,8025.0,2018-02-01,02:48:10,2556.66,03:30:46,14.39
ID5855697857,2,2,6,-37.824940600000005,144.93296930000002,-37.7874325,144.9803767,7418.0,2018-02-17,21:04:32,1950.24,21:37:02,169.25
ID3317978817,1,4,6,-37.804320399999995,145.00107419999998,-37.7874325,144.9803767,4088.0,2018-05-01,03:40:38,1047.24,03:58:05,22.55
ID1502075483,0,2,4,-37.8056896,144.9460642,-37.8229321,145.0106286,6792.0,2018-02-23,11:19:02,1693.32,11:47:15,6.58
ID5685963365,2,4,9,-37.8019971,145.00345349999998,-38.1109156,144.65417250000002,47780.0,2018-02-03,09:57:06,11573.1,13:09:59,802.99
ID1364465989,0,5,6,-37.805121899999996,144.9261401,-37.773845,144.9836895,7955.0,2018-07-10,11:49:57,1811.1,12:20:08,7.66
ID5770528820,2,7,6,-37.8618349,144.90571599999998,-37.773845,144.9836895,13169.0,2018-07-09,13:06:36,3863.58,14:10:59,281.71
ID3834278211,1,4,2,-37.8145067,144.99993519999998,-37.8156148,144.9462743,5456.0,2018-01-03,06:42:56,1349.82,07:05:25,12.92
ID1371850127,0,8,2,-37.8158343,145.04645,-37.8204085,144.92786740000003,11347.0,2018-04-10,17:57:28,3206.58,18:50:54,12.3
ID1262383671,0,8,6,-37.807202000000004,145.0266373,-37.773845,144.9836895,8606.0,2018-03-25,20:05:29,2001.84,20:38:50,14.56
ID3411280620,1,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-04-02,05:50:37,4917.48,07:12:34,37.91
ID3320918388,1,9,5,-38.1109156,144.65417250000002,-37.814871200000006,144.92715619999998,44442.0,2018-07-28,06:21:31,10683.66,09:19:34,54.0
ID3354997256,1,5,8,-37.8065033,144.93221269999998,-37.807202000000004,145.0266373,9116.0,2018-07-22,19:24:38,2376.12,20:04:14,25.91
ID1694139321,0,9,1,-38.1109156,144.65417250000002,-37.8060917,144.9447994,43107.0,2018-01-21,04:48:24,10343.34,07:40:47,29.38
ID3520914488,1,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-06-11,14:34:50,11413.26,17:45:03,58.59
ID3729814968,1,2,8,-37.8261076,144.94911630000001,-37.8158343,145.04645,9566.0,2018-02-15,11:06:28,2770.02,11:52:38,17.23
ID3512708795,1,8,3,-37.8158343,145.04645,-37.823695,144.96721589999999,8175.0,2018-03-01,00:49:30,2421.6,01:29:51,27.78
ID5802623154,2,6,2,-37.773845,144.9836895,-37.8218547,144.947504,7060.0,2018-06-14,00:07:01,1563.84,00:33:04,136.66
ID1765852606,0,3,1,-37.823262799999995,144.9830236,-37.817311700000005,144.95843019999998,2793.0,2018-07-04,18:19:53,674.1,18:31:07,7.67
ID1254155912,0,6,3,-37.7874421,144.9804091,-37.8158349,144.9738102,3455.0,2018-03-03,06:30:36,887.46,06:45:23,10.43
ID3311171166,1,8,5,-37.8158343,145.04645,-37.8064471,144.9325031,10341.0,2018-03-25,23:15:16,2920.62,00:03:56,33.83
ID3979404408,1,1,6,-37.811228799999995,144.9618602,-37.7874325,144.9803767,3669.0,2018-03-11,19:35:13,913.38,19:50:26,19.88
ID1693620264,0,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-04-04,00:10:35,12099.66,03:32:14,28.82
ID5770316528,2,4,6,-37.8117319,145.00781569999998,-37.7874325,144.9803767,4984.0,2018-02-15,08:39:00,1279.5,09:00:19,96.06
ID3623239260,1,3,6,-37.8224033,144.99051469999998,-37.7907967,144.985865,4046.0,2018-01-01,23:33:04,1152.06,23:52:16,21.19
ID3477738035,1,8,5,-37.8158343,145.04645,-37.8073529,144.9364781,10096.0,2018-07-02,19:39:17,2882.16,20:27:19,22.26
ID1280997021,0,1,2,-37.8132985,144.9646315,-37.8143451,144.936685,3326.0,2018-07-21,17:29:28,840.48,17:43:28,12.96
ID3606660156,1,8,4,-37.807202000000004,145.0266373,-37.8006001,144.992611,3319.0,2018-01-04,22:22:44,899.22,22:37:43,21.72
ID3327983916,1,6,1,-37.773845,144.9836895,-37.802031,144.9666456,3703.0,2018-04-24,07:25:34,706.2,07:37:20,6.96
ID1838460050,0,6,8,-37.773845,144.9836895,-37.807202000000004,145.0266373,8606.0,2018-03-27,22:46:12,1995.72,23:19:27,14.13
ID3430453643,1,2,7,-37.8172419,144.93174,-37.8618349,144.90571599999998,10821.0,2018-06-14,17:18:23,3576.36,18:17:59,26.62
ID3594620070,1,6,4,-37.7874325,144.9803767,-37.8007,144.99262140000002,2690.0,2018-05-09,05:13:25,662.34,05:24:27,17.19
ID3559080948,1,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-04-05,07:52:47,4911.6,09:14:38,27.23
ID3251561082,1,5,8,-37.8081247,144.9344576,-37.8158343,145.04645,10419.0,2018-03-01,04:49:53,2922.96,05:38:35,29.72
ID5622932089,2,2,9,-37.8128581,144.9357274,-38.1109156,144.65417250000002,43229.0,2018-03-04,19:26:52,10397.94,22:20:09,730.59
ID1951858863,0,1,5,-37.807933399999996,144.9578607,-37.8097706,144.9300462,3425.0,2018-01-15,09:21:41,887.52,09:36:28,5.22
ID1542722334,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-07-07,21:58:48,4917.48,23:20:45,24.4
ID3608417337,1,6,5,-37.7874325,144.9803767,-37.8115093,144.93579580000002,6174.0,2018-02-11,17:30:50,1572.36,17:57:02,22.63
ID3620596365,1,5,8,-37.814957899999996,144.92752040000002,-37.8158343,145.04645,11854.0,2018-01-08,23:13:05,3287.28,00:07:52,32.16
ID3300881390,1,5,2,-37.8050914,144.9280168,-37.821381,144.9444542,3046.0,2018-04-19,08:09:31,691.56,08:21:02,8.62
ID3161334900,1,7,5,-37.8618349,144.90571599999998,-37.805992700000004,144.93250980000002,10958.0,2018-04-26,21:18:17,3508.8,22:16:45,30.84
ID1921953311,0,6,5,-37.7874421,144.9804091,-37.8048602,144.932999,6177.0,2018-04-26,11:31:50,1665.54,11:59:35,6.74
ID1358787721,0,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-04-12,01:42:47,2302.38,02:21:09,13.33
ID1360368785,0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-03-05,19:12:03,12681.06,22:43:24,26.64
ID3198752606,1,7,5,-37.8618349,144.90571599999998,-37.8049951,144.9312408,11707.0,2018-01-05,15:50:58,3693.66,16:52:31,26.88
ID1139347176,0,9,5,-38.1109156,144.65417250000002,-37.8083116,144.9409504,43520.0,2018-05-24,16:36:40,10425.54,19:30:25,22.03
ID1462079621,0,2,5,-37.8253,144.9366512,-37.806244799999995,144.93217019999997,3535.0,2018-04-26,10:11:49,874.38,10:26:23,4.84
ID3760490478,1,3,8,-37.813423799999995,144.99265649999998,-37.807202000000004,145.0266373,3947.0,2018-07-08,15:18:01,953.4,15:33:54,18.38
ID1711846081,0,5,2,-37.804632299999994,144.9353905,-37.8166412,144.9316921,2606.0,2018-05-04,16:24:37,615.72,16:34:52,7.52
ID3220786420,1,4,1,-37.801483700000006,145.004298,-37.8188451,144.9654245,4737.0,2018-05-09,22:11:56,1250.4,22:32:46,22.85
ID1248510575,0,7,4,-37.8618349,144.90571599999998,-37.798077299999996,145.0076602,12793.0,2018-02-12,01:38:55,4074.0,02:46:49,16.16
ID5177672534,2,5,3,-37.8064761,144.93221709999997,-37.8226242,144.9825669,5617.0,2018-06-26,21:39:57,1392.6,22:03:09,124.64
ID5941274951,2,7,4,-37.8618349,144.90571599999998,-37.811839299999995,145.0116848,12135.0,2018-04-26,21:02:09,3854.64,22:06:23,292.6
ID3456122775,1,4,8,-37.8043117,144.99474850000001,-37.8158343,145.04645,5165.0,2018-04-18,13:21:23,1638.66,13:48:41,18.49
ID5298217283,2,9,5,-38.1109156,144.65417250000002,-37.7985094,144.9200724,45197.0,2018-01-08,13:56:12,10856.46,16:57:08,755.91
ID5947462005,2,8,4,-37.807202000000004,145.0266373,-37.8054576,145.0004183,2510.0,2018-04-09,18:54:26,628.92,19:04:54,62.45
ID3455544963,1,2,7,-37.8149198,144.9353227,-37.8618349,144.90571599999998,10627.0,2018-02-24,05:16:41,3469.44,06:14:30,35.96
ID1173867435,0,4,9,-37.8018235,145.0034743,-38.1109156,144.65417250000002,47805.0,2018-05-28,00:19:58,11580.18,03:32:58,29.37
ID3312878967,1,2,7,-37.8132619,144.9385342,-37.8618349,144.90571599999998,10283.0,2018-03-26,00:09:34,3371.22,01:05:45,31.46
ID5202128627,2,9,1,-38.1109156,144.65417250000002,-37.8003784,144.9639538,44618.0,2018-02-27,13:58:42,10793.22,16:58:35,751.43
ID3802445362,1,9,3,-38.1109156,144.65417250000002,-37.8160546,144.97250480000002,44289.0,2018-01-19,13:35:30,10702.5,16:33:52,55.38
ID5743932284,2,5,3,-37.808146799999996,144.9342466,-37.814678,144.9899876,5666.0,2018-05-21,18:05:37,1361.76,18:28:18,112.11
ID3286446614,1,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-02-26,07:56:01,4917.48,09:17:58,25.22
ID1199170535,0,5,8,-37.8132457,144.9334457,-37.8158343,145.04645,11173.0,2018-01-05,05:25:09,3113.22,06:17:02,17.07
ID3746449030,1,2,9,-37.824653600000005,144.95474140000002,-38.1109156,144.65417250000002,43117.0,2018-05-25,15:35:28,10460.76,18:29:48,54.79
ID1237689135,0,2,8,-37.818014399999996,144.9470579,-37.807202000000004,145.0266373,8199.0,2018-03-25,08:31:16,1926.36,09:03:22,11.19
ID3308658307,1,7,2,-37.8618349,144.90571599999998,-37.8121182,144.9380601,10803.0,2018-07-16,09:20:42,3495.72,10:18:57,18.97
ID1504389429,0,1,4,-37.8165955,144.9668739,-37.809502200000004,145.00433600000002,3896.0,2018-04-23,09:37:12,966.9,09:53:18,5.57
ID1825008063,1,1,7,-37.8080795,144.96927730000002,-37.8618349,144.90571599999998,9130.0,2018-07-14,08:11:48,3058.68,09:02:46,15.19
ID3535334153,1,5,2,-37.8043845,144.93008469999998,-37.811168200000004,144.94028740000002,2199.0,2018-02-16,13:20:48,608.52,13:30:56,14.69
ID1681548240,0,9,4,-38.1109156,144.65417250000002,-37.8023641,144.9918031,47082.0,2018-01-28,01:32:01,11337.42,04:40:58,30.82
ID1537809105,0,9,2,-38.1109156,144.65417250000002,-37.8120843,144.9384611,42573.0,2018-05-16,08:42:51,10196.04,11:32:47,19.29
ID1360446979,0,4,3,-37.803335,144.9899256,-37.823372,144.9891531,2452.0,2018-06-16,19:48:59,613.74,19:59:12,14.41
ID1492924162,0,4,6,-37.8054782,144.9975185,-37.7874421,144.9804091,3556.0,2018-03-19,10:04:58,916.74,10:20:14,6.33
ID1795573345,0,8,6,-37.807202000000004,145.0266373,-37.7738026,144.98364660000001,11470.0,2018-01-22,21:24:01,3458.94,22:21:39,17.04
ID1780089130,0,4,7,-37.8147119,145.0022753,-37.8618349,144.90571599999998,11123.0,2018-04-20,22:31:18,3547.38,23:30:25,15.45
ID1360197075,0,3,6,-37.818898,145.00259450000001,-37.8008069,144.9735614,4162.0,2018-02-28,07:03:04,1048.98,07:20:32,6.32
ID1500275919,0,7,5,-37.8618349,144.90571599999998,-37.8083237,144.9212169,11863.0,2018-04-09,22:25:35,3791.34,23:28:46,14.39
ID3965649823,1,7,3,-37.8618349,144.90571599999998,-37.8190709,144.97920159999998,8832.0,2018-07-09,13:12:10,2912.94,14:00:42,22.01
ID3649580276,1,4,6,-37.8009025,144.9879895,-37.773845,144.9836895,4955.0,2018-05-08,12:22:39,1045.38,12:40:04,14.68
ID1195094699,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-02-04,01:59:19,13204.98,05:39:23,35.63
ID5227490588,2,5,9,-37.799896399999994,144.9289558,-38.1109156,144.65417250000002,44391.0,2018-03-04,01:53:31,10662.66,04:51:13,757.98
ID3313857912,2,2,1,-37.814791,144.93428559999998,-37.801559999999995,144.9573359,2946.0,2018-02-05,05:25:46,743.64,05:38:09,20.07
ID1445610392,0,4,9,-37.8104827,145.0089843,-38.1109156,144.65417250000002,47800.0,2018-03-23,03:06:16,11549.16,06:18:45,28.05
ID1576951547,0,6,4,-37.773845,144.9836895,-37.8003197,145.0098041,7074.0,2018-06-11,15:16:30,1580.1,15:42:50,11.16
ID5724489752,2,4,7,-37.8020363,145.00412240000003,-37.8618349,144.90571599999998,12107.0,2018-03-08,01:33:34,3863.94,02:37:57,291.6
ID1702924883,0,1,4,-37.8227719,144.97141519999997,-37.810554100000004,145.00478710000002,4169.0,2018-01-20,13:11:18,1029.78,13:28:27,13.53
ID1494953677,0,1,6,-37.813669899999994,144.9741999,-37.7738026,144.98364660000001,7719.0,2018-06-24,14:35:15,2459.28,15:16:14,16.5
ID1766914306,0,7,5,-37.8618349,144.90571599999998,-37.8033171,144.9368699,10832.0,2018-04-02,08:02:08,3535.92,09:01:03,10.35
ID1649855878,0,5,4,-37.8090045,144.9352188,-37.8109049,145.00410630000002,7917.0,2018-02-19,06:58:35,1972.74,07:31:27,7.83
ID3430640721,1,5,7,-37.80538920000001,144.9255009,-37.8618349,144.90571599999998,11538.0,2018-05-12,15:51:28,3666.9,16:52:34,29.61
ID1855079655,0,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035.0,2018-07-04,08:45:52,11407.86,11:55:59,21.71
ID1750815089,0,2,2,-37.82452120000001,144.9460841,-37.8174523,144.9459675,936.0,2018-06-03,01:20:55,209.22,01:24:24,14.29
ID3310188202,1,4,2,-37.7865539,145.0197062,-37.822044,144.9507315,9606.0,2018-04-14,04:37:13,2612.64,05:20:45,32.54
ID1267332042,0,5,7,-37.8165285,144.9282096,-37.8618349,144.90571599999998,11509.0,2018-03-11,12:22:44,3721.32,13:24:45,17.89
ID1560256523,2,4,8,-37.7994435,144.9890606,-37.8158343,145.04645,6152.0,2018-03-22,21:23:34,1873.26,21:54:47,14.23
ID3798259161,1,6,3,-37.7738026,144.98364660000001,-37.8205902,144.9830457,9134.0,2018-06-10,17:50:16,2833.44,18:37:29,27.4
ID3987188177,1,5,6,-37.8051653,144.9366579,-37.7908183,144.9857929,5978.0,2018-02-23,22:23:04,1611.9,22:49:55,23.67
ID5408541460,1,4,1,-37.8028779,145.0209199,-37.8090911,144.94620790000002,7808.0,2018-05-23,16:29:40,2047.32,17:03:47,161.83
ID1627050770,0,9,4,-38.1109156,144.65417250000002,-37.819384,145.00835969999997,47525.0,2018-07-13,23:56:08,11553.96,03:08:41,31.13
ID1384520898,0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-07-10,12:05:33,13204.98,15:45:37,27.18
ID1850960911,0,1,3,-37.81555720000001,144.96642659999998,-37.8106277,144.9775804,1254.0,2018-01-19,10:16:19,285.24,10:21:04,3.78
ID1186274425,0,1,8,-37.824485700000004,144.9694034,-37.8158343,145.04645,8139.0,2018-01-27,23:13:14,2338.68,23:52:12,18.16
ID1529699977,0,7,4,-37.8618349,144.90571599999998,-37.8045527,144.993404,10974.0,2018-06-25,02:07:02,3614.82,03:07:16,17.33
ID1277604634,0,4,7,-37.81363579999999,145.0000791,-37.8618349,144.90571599999998,11013.0,2018-01-23,23:09:01,3499.02,00:07:20,17.4
ID3348941746,1,7,1,-37.8618349,144.90571599999998,-37.799729299999996,144.954878,9841.0,2018-05-02,14:24:41,3276.78,15:19:17,24.18
ID3799795604,1,6,1,-37.7908183,144.9857929,-37.8019703,144.9584927,3658.0,2018-05-07,09:02:13,944.16,09:17:57,8.71
ID3781138116,1,5,3,-37.8067534,144.93257250000002,-37.8233231,144.97626269999998,5006.0,2018-04-10,04:45:09,1249.8,05:05:58,22.17
ID1785321409,0,7,3,-37.8618349,144.90571599999998,-37.825414200000004,144.99564719999998,9828.0,2018-07-26,22:57:24,3146.16,23:49:50,16.84
ID3112017566,1,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035.0,2018-02-13,16:21:42,11407.86,19:31:49,59.79
ID1412396809,0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-01-09,00:53:50,12681.06,04:25:11,29.24
ID1709856009,0,2,5,-37.82103729999999,144.94760060000002,-37.8084848,144.925964,2655.0,2018-03-25,14:09:10,715.5,14:21:05,13.5
ID5754867622,2,5,3,-37.8153797,144.92251059999998,-37.8251249,144.99199380000002,7445.0,2018-01-17,08:54:45,1924.32,09:26:49,142.87
ID3540539785,1,7,2,-37.8618349,144.90571599999998,-37.8191916,144.9340419,10161.0,2018-02-20,17:18:05,3400.44,18:14:45,25.41
ID3401795959,1,3,8,-37.818567200000004,144.99915149999998,-37.8158343,145.04645,4948.0,2018-06-26,17:55:26,1531.8,18:20:57,18.07
ID3144302237,1,4,6,-37.8014528,145.00688259999998,-37.7907967,144.985865,2960.0,2018-01-10,09:22:27,859.5,09:36:46,11.35
ID3639288067,1,4,5,-37.816786799999996,145.00725880000002,-37.8056364,144.9367091,6899.0,2018-01-08,13:00:51,1763.58,13:30:14,19.36
ID3900041650,1,6,9,-37.773845,144.9836895,-38.1109156,144.65417250000002,48197.0,2018-02-16,09:08:24,11519.4,12:20:23,53.28
ID1377183471,0,1,4,-37.8174002,144.9540169,-37.800964,144.99097890000002,4810.0,2018-07-03,01:25:36,1253.22,01:46:29,12.46
ID3177846711,1,9,5,-38.1109156,144.65417250000002,-37.8002664,144.9356903,45208.0,2018-01-11,10:28:57,10827.66,13:29:24,49.42
ID3508513761,1,5,6,-37.7946969,144.9361619,-37.773845,144.9836895,6884.0,2018-06-20,04:28:17,1549.62,04:54:06,24.14
ID1524858915,0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-03-12,20:57:05,12681.06,00:28:26,28.17
ID1363989445,0,4,5,-37.8014528,145.00688259999998,-37.815211600000005,144.9275535,8997.0,2018-04-03,01:04:37,2320.8,01:43:17,15.25
ID3373642500,1,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698.0,2018-02-18,08:40:34,2735.16,09:26:09,20.1
ID5632304081,2,6,3,-37.7907967,144.985865,-37.8140799,144.9737248,3321.0,2018-07-10,03:07:10,923.7,03:22:33,93.0
ID1719418874,0,1,7,-37.810946799999996,144.96183069999998,-37.8618349,144.90571599999998,8562.0,2018-06-03,09:36:09,2916.0,10:24:45,10.72
ID3269554380,1,8,6,-37.8158343,145.04645,-37.773845,144.9836895,10698.0,2018-06-14,14:47:31,2735.16,15:33:06,22.57
ID3151129127,1,9,3,-38.1109156,144.65417250000002,-37.8242349,144.991632,46110.0,2018-03-07,04:03:57,11192.76,07:10:29,63.89
ID1486885530,0,6,3,-37.7907967,144.985865,-37.8209796,144.96596680000002,4578.0,2018-07-19,14:24:26,1331.46,14:46:37,8.59
ID1942518477,0,2,1,-37.8219372,144.95209319999998,-37.8141364,144.96572880000002,1860.0,2018-02-01,11:48:09,452.22,11:55:41,5.19
ID5706609540,2,1,7,-37.820260600000005,144.96954430000002,-37.8618349,144.90571599999998,7683.0,2018-04-07,07:22:42,2672.88,08:07:14,200.17
ID1960786156,0,5,9,-37.820863700000004,144.92063430000002,-38.1109156,144.65417250000002,44615.0,2018-01-06,23:42:52,10806.9,02:42:58,31.11
ID3472606722,1,2,6,-37.8205187,144.9511189,-37.7908183,144.9857929,5370.0,2018-06-18,00:12:39,1396.44,00:35:55,22.14
ID1776993558,0,3,8,-37.8122909,144.9840426,-37.807202000000004,145.0266373,4650.0,2018-05-13,02:11:52,1131.18,02:30:43,17.26
ID5132273803,2,5,2,-37.8035614,144.9181009,-37.8250284,144.94528449999999,4403.0,2018-01-10,20:39:40,1029.78,20:56:49,93.99
ID3688811008,1,3,5,-37.809715399999995,144.9914314,-37.8065946,144.9322622,5501.0,2018-05-03,06:04:42,1420.02,06:28:22,11.33
ID5746311222,2,2,4,-37.8074005,144.94242519999997,-37.800518700000005,145.0018179,6493.0,2018-06-05,03:26:28,1682.16,03:54:30,146.44
ID1831496680,0,7,1,-37.8618349,144.90571599999998,-37.8149457,144.9647656,7985.0,2018-07-18,04:43:39,2762.34,05:29:41,12.93
ID1931884723,0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-04-11,01:40:16,13173.36,05:19:49,30.19
